,event,trial,time,PID
0,fullscreenenter,0,2489,10
1,fullscreenexit,1,5783,10
2,blur,71,177595,10
3,focus,72,182409,10
4,blur,324,521214,10
5,focus,324,539099,10
6,blur,324,562431,10
7,focus,324,570926,10
8,blur,325,601396,10
9,focus,325,628286,10
10,blur,403,724691,10
11,focus,404,725661,10
12,blur,404,725668,10
13,focus,404,727310,10
14,blur,406,730468,10
15,focus,409,733128,10
16,blur,411,735961,10
17,focus,414,740759,10
18,blur,421,748793,10
19,focus,425,753883,10
20,blur,427,755466,10
21,focus,430,759198,10
22,blur,431,760231,10
23,focus,432,761358,10
24,blur,436,767241,10
25,focus,440,771583,10
26,blur,442,772653,10
27,focus,446,777907,10
28,blur,622,989183,10
29,focus,622,1009853,10
30,blur,923,1379907,10
31,focus,923,1388254,10
32,blur,1458,2033039,10
33,focus,1460,2035748,10
34,blur,1469,2045156,10
35,focus,1473,2052917,10
36,blur,1477,2056335,10
37,focus,1479,2058385,10
38,blur,1483,2062546,10
39,focus,1485,2065203,10
40,blur,1493,2074387,10
41,focus,1496,2077669,10
42,blur,1502,2087603,10
43,focus,1507,2094398,10
44,blur,1512,2099462,10
45,focus,1513,2100542,10
46,blur,1517,2104875,10
47,focus,1520,2108292,10
48,blur,1525,2128265,10
49,focus,1525,2138966,10
50,blur,1532,2150252,10
51,focus,1536,2156341,10
52,blur,1547,2170136,10
53,focus,1549,2172376,10
54,blur,1552,2174236,10
55,focus,1552,2177489,10
56,blur,1559,2186338,10
57,focus,1559,2187126,10
58,blur,1591,2221449,10
59,focus,1595,2225231,10
60,blur,1637,2275263,10
61,focus,1638,2276735,10
62,blur,1641,2280148,10
63,focus,1644,2283379,10
64,blur,1702,2347647,10
65,focus,1703,2349640,10
66,blur,1706,2352376,10
67,focus,1707,2354392,10
68,blur,1707,2355620,10
69,focus,1709,2357774,10
70,blur,1774,2435173,10
71,focus,1774,2436139,10
72,blur,1781,2444137,10
73,focus,1785,2448250,10
74,blur,1790,2453307,10
75,focus,1794,2458892,10
76,blur,1797,2460437,10
77,focus,1801,2468015,10
78,blur,1804,2473443,10
79,focus,1806,2475167,10
80,blur,1809,2477904,10
81,focus,1811,2481121,10
82,blur,1815,2484889,10
83,focus,1817,2488960,10
84,blur,1819,2491007,10
85,focus,1820,2492633,10
86,blur,1821,2501959,10
87,focus,1821,2513442,10
